"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd","prediction"
"theta047","0.47","-16.33394573035923","30.0","1.25","17.5","11.24","0.1077032961426901","11.253045"
"theta047","0.47","-16.33394573035923","31.000008","1.291667","2.5","3.44","0.1077032961426901","3.4673762"
"theta047","0.47","-16.33394573035923","31.000008","1.291667","7.5","10.51","0.1077032961426901","10.588574"
"theta047","0.47","-16.33394573035923","31.000008","1.291667","12.5","11.04","0.1077032961426901","11.04195"
"theta047","0.47","-16.33394573035923","31.000008","1.291667","17.5","11.22","0.1077032961426901","11.250513"
"theta047","0.47","-16.33394573035923","31.999992","1.333333","2.5","3.37","0.1077032961426901","3.452397"
"theta047","0.47","-16.33394573035923","31.999992","1.333333","7.5","10.66","0.1077032961426901","10.574976"
"theta047","0.47","-16.33394573035923","31.999992","1.333333","12.5","11.03","0.1077032961426901","11.037423"
"theta047","0.47","-16.33394573035923","31.999992","1.333333","17.5","11.23","0.1077032961426901","11.247956"
"theta047","0.47","-16.33394573035923","33.0","1.375","2.5","3.46","0.1077032961426901","3.437925"
"theta047","0.47","-16.33394573035923","33.0","1.375","7.5","10.57","0.1077032961426901","10.5609255"
"theta047","0.47","-16.33394573035923","33.0","1.375","12.5","10.99","0.1077032961426901","11.032836"
"theta047","0.47","-16.33394573035923","33.0","1.375","17.5","11.29","0.1077032961426901","11.245376"
"theta047","0.47","-16.33394573035923","34.000007999999994","1.416667","2.5","3.40","0.1077032961426901","3.4239278"
"theta047","0.47","-16.33394573035923","34.000007999999994","1.416667","7.5","10.56","0.1077032961426901","10.546393"
"theta047","0.47","-16.33394573035923","34.000007999999994","1.416667","12.5","11.05","0.1077032961426901","11.028192"
"theta047","0.47","-16.33394573035923","34.000007999999994","1.416667","17.5","11.26","0.1077032961426901","11.24277"
"theta047","0.47","-16.33394573035923","34.999992000000006","1.458333","2.5","3.36","0.1077032961426901","3.4103773"
"theta047","0.47","-16.33394573035923","34.999992000000006","1.458333","7.5","10.49","0.1077032961426901","10.531347"
"theta047","0.47","-16.33394573035923","34.999992000000006","1.458333","12.5","10.96","0.1077032961426901","11.023486"
"theta047","0.47","-16.33394573035923","34.999992000000006","1.458333","17.5","11.24","0.1077032961426901","11.24014"
"theta047","0.47","-16.33394573035923","36.0","1.5","2.5","3.41","0.1077032961426901","3.3972442"
"theta047","0.47","-16.33394573035923","36.0","1.5","7.5","10.50","0.1077032961426901","10.515751"
"theta047","0.47","-16.33394573035923","36.0","1.5","12.5","11.00","0.1077032961426901","11.018721"
"theta047","0.47","-16.33394573035923","36.0","1.5","17.5","11.23","0.1077032961426901","11.237485"
"theta047","0.47","-16.33394573035923","37.000008","1.541667","2.5","3.36","0.1077032961426901","3.384506"
"theta047","0.47","-16.33394573035923","37.000008","1.541667","7.5","10.47","0.1077032961426901","10.499562"
"theta047","0.47","-16.33394573035923","37.000008","1.541667","12.5","10.97","0.1077032961426901","11.013891"
"theta047","0.47","-16.33394573035923","37.000008","1.541667","17.5","11.20","0.1077032961426901","11.234805"
"theta047","0.47","-16.33394573035923","37.999992000000006","1.583333","2.5","3.33","0.1077032961426901","3.3721404"
"theta047","0.47","-16.33394573035923","37.999992000000006","1.583333","7.5","10.44","0.1077032961426901","10.482736"
"theta047","0.47","-16.33394573035923","37.999992000000006","1.583333","12.5","10.97","0.1077032961426901","11.008998"
"theta047","0.47","-16.33394573035923","37.999992000000006","1.583333","17.5","11.26","0.1077032961426901","11.232098"
"theta047","0.47","-16.33394573035923","39.0","1.625","2.5","3.30","0.1077032961426901","3.3601258"
"theta047","0.47","-16.33394573035923","39.0","1.625","7.5","10.48","0.1077032961426901","10.46522"
"theta047","0.47","-16.33394573035923","39.0","1.625","12.5","10.96","0.1077032961426901","11.00404"
"theta047","0.47","-16.33394573035923","39.0","1.625","17.5","11.21","0.1077032961426901","11.229365"
"theta047","0.47","-16.33394573035923","40.000008","1.666667","2.5","3.31","0.1077032961426901","3.3484442"
"theta047","0.47","-16.33394573035923","40.000008","1.666667","7.5","10.44","0.1077032961426901","10.446958"
"theta047","0.47","-16.33394573035923","40.000008","1.666667","12.5","10.97","0.1077032961426901","10.999013"
"theta047","0.47","-16.33394573035923","40.000008","1.666667","17.5","11.31","0.1077032961426901","11.226606"
"theta047","0.47","-16.33394573035923","40.999992000000006","1.708333","2.5","3.32","0.1077032961426901","3.3370776"
"theta047","0.47","-16.33394573035923","40.999992000000006","1.708333","7.5","10.37","0.1077032961426901","10.427883"
"theta047","0.47","-16.33394573035923","40.999992000000006","1.708333","12.5","11.04","0.1077032961426901","10.993918"
"theta047","0.47","-16.33394573035923","40.999992000000006","1.708333","17.5","11.19","0.1077032961426901","11.223821"
