"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd","prediction"
"theta020","0.2","-166.9363086307076","60.0","2.5","12.5","10.99","0.1077032961426901","11.006561"
"theta020","0.2","-166.9363086307076","60.0","2.5","17.5","11.09","0.1077032961426901","11.079295"
"theta020","0.2","-166.9363086307076","61.000008","2.541667","2.5","3.63","0.1077032961426901","3.5782275"
"theta020","0.2","-166.9363086307076","61.000008","2.541667","7.5","10.80","0.1077032961426901","10.810812"
"theta020","0.2","-166.9363086307076","61.000008","2.541667","12.5","11.01","0.1077032961426901","11.008457"
"theta020","0.2","-166.9363086307076","61.000008","2.541667","17.5","11.13","0.1077032961426901","11.081929"
"theta020","0.2","-166.9363086307076","61.999992000000006","2.583333","2.5","3.68","0.1077032961426901","3.5569034"
"theta020","0.2","-166.9363086307076","61.999992000000006","2.583333","7.5","10.80","0.1077032961426901","10.809432"
"theta020","0.2","-166.9363086307076","61.999992000000006","2.583333","12.5","11.08","0.1077032961426901","11.010286"
"theta020","0.2","-166.9363086307076","61.999992000000006","2.583333","17.5","11.09","0.1077032961426901","11.084511"
"theta020","0.2","-166.9363086307076","63.0","2.625","2.5","3.59","0.1077032961426901","3.5364332"
"theta020","0.2","-166.9363086307076","63.0","2.625","7.5","10.77","0.1077032961426901","10.807912"
"theta020","0.2","-166.9363086307076","63.0","2.625","12.5","11.07","0.1077032961426901","11.012049"
"theta020","0.2","-166.9363086307076","63.0","2.625","17.5","11.12","0.1077032961426901","11.08704"
"theta020","0.2","-166.9363086307076","64.000008","2.666667","2.5","3.57","0.1077032961426901","3.516757"
"theta020","0.2","-166.9363086307076","64.000008","2.666667","7.5","10.84","0.1077032961426901","10.806249"
"theta020","0.2","-166.9363086307076","64.000008","2.666667","12.5","11.04","0.1077032961426901","11.013742"
"theta020","0.2","-166.9363086307076","64.000008","2.666667","17.5","11.09","0.1077032961426901","11.089517"
"theta020","0.2","-166.9363086307076","64.999992","2.708333","2.5","3.53","0.1077032961426901","3.4978232"
"theta020","0.2","-166.9363086307076","64.999992","2.708333","7.5","10.90","0.1077032961426901","10.8044405"
"theta020","0.2","-166.9363086307076","64.999992","2.708333","12.5","11.13","0.1077032961426901","11.01537"
"theta020","0.2","-166.9363086307076","64.999992","2.708333","17.5","11.21","0.1077032961426901","11.091942"
"theta020","0.2","-166.9363086307076","66.0","2.75","2.5","3.52","0.1077032961426901","3.4795835"
"theta020","0.2","-166.9363086307076","66.0","2.75","7.5","10.72","0.1077032961426901","10.8024845"
"theta020","0.2","-166.9363086307076","66.0","2.75","12.5","11.06","0.1077032961426901","11.01693"
"theta020","0.2","-166.9363086307076","66.0","2.75","17.5","11.14","0.1077032961426901","11.094314"
"theta020","0.2","-166.9363086307076","67.000008","2.791667","2.5","3.48","0.1077032961426901","3.4619954"
"theta020","0.2","-166.9363086307076","67.000008","2.791667","7.5","10.74","0.1077032961426901","10.800377"
