"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd"
"theta047","0.47","-16.33394573035923","105.999984","4.416666","17.5","11.03","0.1077032961426901"
"theta047","0.47","-16.33394573035923","107.000016","4.458334","2.5","2.85","0.1077032961426901"
"theta047","0.47","-16.33394573035923","107.000016","4.458334","7.5","3.29","0.1077032961426901"
"theta047","0.47","-16.33394573035923","107.000016","4.458334","12.5","10.28","0.1077032961426901"
"theta047","0.47","-16.33394573035923","107.000016","4.458334","17.5","11.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","108.0","4.5","2.5","2.90","0.1077032961426901"
"theta047","0.47","-16.33394573035923","108.0","4.5","7.5","3.31","0.1077032961426901"
"theta047","0.47","-16.33394573035923","108.0","4.5","12.5","10.23","0.1077032961426901"
"theta047","0.47","-16.33394573035923","108.0","4.5","17.5","10.99","0.1077032961426901"
"theta047","0.47","-16.33394573035923","108.999984","4.541666","2.5","2.85","0.1077032961426901"
"theta047","0.47","-16.33394573035923","108.999984","4.541666","7.5","3.25","0.1077032961426901"
"theta047","0.47","-16.33394573035923","108.999984","4.541666","12.5","10.24","0.1077032961426901"
"theta047","0.47","-16.33394573035923","108.999984","4.541666","17.5","10.91","0.1077032961426901"
"theta047","0.47","-16.33394573035923","110.000016","4.583334","2.5","2.82","0.1077032961426901"
"theta047","0.47","-16.33394573035923","110.000016","4.583334","7.5","3.15","0.1077032961426901"
"theta047","0.47","-16.33394573035923","110.000016","4.583334","12.5","10.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","110.000016","4.583334","17.5","10.87","0.1077032961426901"
"theta047","0.47","-16.33394573035923","111.0","4.625","2.5","2.84","0.1077032961426901"
"theta047","0.47","-16.33394573035923","111.0","4.625","7.5","3.21","0.1077032961426901"
"theta047","0.47","-16.33394573035923","111.0","4.625","12.5","10.25","0.1077032961426901"
"theta047","0.47","-16.33394573035923","111.0","4.625","17.5","10.94","0.1077032961426901"
"theta047","0.47","-16.33394573035923","111.999984","4.666666","2.5","2.82","0.1077032961426901"
"theta047","0.47","-16.33394573035923","111.999984","4.666666","7.5","3.19","0.1077032961426901"
"theta047","0.47","-16.33394573035923","111.999984","4.666666","12.5","10.07","0.1077032961426901"
"theta047","0.47","-16.33394573035923","111.999984","4.666666","17.5","10.89","0.1077032961426901"
"theta047","0.47","-16.33394573035923","113.000016","4.708334","2.5","2.78","0.1077032961426901"
"theta047","0.47","-16.33394573035923","113.000016","4.708334","7.5","3.15","0.1077032961426901"
"theta047","0.47","-16.33394573035923","113.000016","4.708334","12.5","10.07","0.1077032961426901"
"theta047","0.47","-16.33394573035923","113.000016","4.708334","17.5","10.91","0.1077032961426901"
"theta047","0.47","-16.33394573035923","114.0","4.75","2.5","2.83","0.1077032961426901"
"theta047","0.47","-16.33394573035923","114.0","4.75","7.5","3.18","0.1077032961426901"
"theta047","0.47","-16.33394573035923","114.0","4.75","12.5","10.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","114.0","4.75","17.5","10.91","0.1077032961426901"
"theta047","0.47","-16.33394573035923","114.999984","4.791666","2.5","2.82","0.1077032961426901"
"theta047","0.47","-16.33394573035923","114.999984","4.791666","7.5","3.26","0.1077032961426901"
"theta047","0.47","-16.33394573035923","114.999984","4.791666","12.5","9.99","0.1077032961426901"
"theta047","0.47","-16.33394573035923","114.999984","4.791666","17.5","10.91","0.1077032961426901"
"theta047","0.47","-16.33394573035923","116.000016","4.833334","2.5","2.81","0.1077032961426901"
"theta047","0.47","-16.33394573035923","116.000016","4.833334","7.5","3.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","116.000016","4.833334","12.5","9.89","0.1077032961426901"
"theta047","0.47","-16.33394573035923","116.000016","4.833334","17.5","10.92","0.1077032961426901"
"theta047","0.47","-16.33394573035923","117.0","4.875","2.5","2.87","0.1077032961426901"
"theta047","0.47","-16.33394573035923","117.0","4.875","7.5","3.18","0.1077032961426901"
"theta047","0.47","-16.33394573035923","117.0","4.875","12.5","9.81","0.1077032961426901"
"theta047","0.47","-16.33394573035923","117.0","4.875","17.5","10.93","0.1077032961426901"
"theta047","0.47","-16.33394573035923","117.999984","4.916666","2.5","2.80","0.1077032961426901"
"theta047","0.47","-16.33394573035923","117.999984","4.916666","7.5","3.11","0.1077032961426901"
"theta047","0.47","-16.33394573035923","117.999984","4.916666","12.5","9.79","0.1077032961426901"
"theta047","0.47","-16.33394573035923","117.999984","4.916666","17.5","10.95","0.1077032961426901"
"theta047","0.47","-16.33394573035923","119.000016","4.958334","2.5","2.80","0.1077032961426901"
"theta047","0.47","-16.33394573035923","119.000016","4.958334","7.5","3.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","119.000016","4.958334","12.5","9.62","0.1077032961426901"
"theta047","0.47","-16.33394573035923","119.000016","4.958334","17.5","10.89","0.1077032961426901"
"theta047","0.47","-16.33394573035923","120.0","5.0","2.5","2.81","0.1077032961426901"
"theta047","0.47","-16.33394573035923","120.0","5.0","7.5","3.17","0.1077032961426901"
"theta047","0.47","-16.33394573035923","120.0","5.0","12.5","9.53","0.1077032961426901"
"theta047","0.47","-16.33394573035923","120.0","5.0","17.5","10.87","0.1077032961426901"
