"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd"
"theta020","0.2","-166.9363086307076","52.000008","2.166667","12.5","11.09","0.1077032961426901"
"theta020","0.2","-166.9363086307076","52.000008","2.166667","17.5","10.96","0.1077032961426901"
"theta020","0.2","-166.9363086307076","52.999992000000006","2.208333","2.5","3.79","0.1077032961426901"
"theta020","0.2","-166.9363086307076","52.999992000000006","2.208333","7.5","10.80","0.1077032961426901"
"theta020","0.2","-166.9363086307076","52.999992000000006","2.208333","12.5","10.99","0.1077032961426901"
"theta020","0.2","-166.9363086307076","52.999992000000006","2.208333","17.5","11.08","0.1077032961426901"
"theta020","0.2","-166.9363086307076","54.0","2.25","2.5","3.84","0.1077032961426901"
"theta020","0.2","-166.9363086307076","54.0","2.25","7.5","10.78","0.1077032961426901"
"theta020","0.2","-166.9363086307076","54.0","2.25","12.5","11.11","0.1077032961426901"
"theta020","0.2","-166.9363086307076","54.0","2.25","17.5","11.08","0.1077032961426901"
"theta020","0.2","-166.9363086307076","55.000008","2.291667","2.5","3.84","0.1077032961426901"
"theta020","0.2","-166.9363086307076","55.000008","2.291667","7.5","10.76","0.1077032961426901"
"theta020","0.2","-166.9363086307076","55.000008","2.291667","12.5","10.99","0.1077032961426901"
"theta020","0.2","-166.9363086307076","55.000008","2.291667","17.5","11.08","0.1077032961426901"
"theta020","0.2","-166.9363086307076","55.999992000000006","2.333333","2.5","3.84","0.1077032961426901"
"theta020","0.2","-166.9363086307076","55.999992000000006","2.333333","7.5","10.70","0.1077032961426901"
"theta020","0.2","-166.9363086307076","55.999992000000006","2.333333","12.5","10.99","0.1077032961426901"
"theta020","0.2","-166.9363086307076","55.999992000000006","2.333333","17.5","11.06","0.1077032961426901"
"theta020","0.2","-166.9363086307076","57.0","2.375","2.5","3.67","0.1077032961426901"
"theta020","0.2","-166.9363086307076","57.0","2.375","7.5","10.79","0.1077032961426901"
"theta020","0.2","-166.9363086307076","57.0","2.375","12.5","11.00","0.1077032961426901"
"theta020","0.2","-166.9363086307076","57.0","2.375","17.5","11.06","0.1077032961426901"
"theta020","0.2","-166.9363086307076","58.000008","2.416667","2.5","3.66","0.1077032961426901"
"theta020","0.2","-166.9363086307076","58.000008","2.416667","7.5","10.77","0.1077032961426901"
"theta020","0.2","-166.9363086307076","58.000008","2.416667","12.5","11.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","58.000008","2.416667","17.5","11.18","0.1077032961426901"
"theta020","0.2","-166.9363086307076","58.999992000000006","2.458333","2.5","3.68","0.1077032961426901"
"theta020","0.2","-166.9363086307076","58.999992000000006","2.458333","7.5","10.81","0.1077032961426901"
"theta020","0.2","-166.9363086307076","58.999992000000006","2.458333","12.5","11.06","0.1077032961426901"
"theta020","0.2","-166.9363086307076","58.999992000000006","2.458333","17.5","11.11","0.1077032961426901"
"theta020","0.2","-166.9363086307076","60.0","2.5","2.5","3.68","0.1077032961426901"
"theta020","0.2","-166.9363086307076","60.0","2.5","7.5","10.88","0.1077032961426901"
"theta020","0.2","-166.9363086307076","60.0","2.5","12.5","10.99","0.1077032961426901"
"theta020","0.2","-166.9363086307076","60.0","2.5","17.5","11.09","0.1077032961426901"
"theta020","0.2","-166.9363086307076","61.000008","2.541667","2.5","3.63","0.1077032961426901"
"theta020","0.2","-166.9363086307076","61.000008","2.541667","7.5","10.80","0.1077032961426901"
"theta020","0.2","-166.9363086307076","61.000008","2.541667","12.5","11.01","0.1077032961426901"
"theta020","0.2","-166.9363086307076","61.000008","2.541667","17.5","11.13","0.1077032961426901"
"theta020","0.2","-166.9363086307076","61.999992000000006","2.583333","2.5","3.68","0.1077032961426901"
"theta020","0.2","-166.9363086307076","61.999992000000006","2.583333","7.5","10.80","0.1077032961426901"
"theta020","0.2","-166.9363086307076","61.999992000000006","2.583333","12.5","11.08","0.1077032961426901"
"theta020","0.2","-166.9363086307076","61.999992000000006","2.583333","17.5","11.09","0.1077032961426901"
